,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Steven Adams,C,26,OKC,61,61,27.1,4.6,7.7,.595,0.0,0.0,.333,4.6,7.6,.597,.596,1.9,3.3,.588,3.3,6.0,9.4,2.4,0.8,1.1,1.5,2.0,11.1
2,Bam Adebayo,PF,22,MIA,70,70,34.0,6.2,11.1,.559,0.0,0.2,.143,6.2,10.9,.566,.560,3.7,5.4,.693,2.5,7.9,10.3,5.1,1.2,1.3,2.9,2.6,16.1
3,LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
4,Kyle Alexander,PF,23,MIA,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Nickeil Alexander-Walker,SG,21,NOP,45,0,11.8,1.9,5.3,.353,1.0,2.7,.352,0.9,2.6,.353,.443,0.4,0.7,.600,0.2,1.7,1.8,1.7,0.3,0.2,1.0,1.1,5.1
6,Grayson Allen,SG,24,MEM,36,0,18.4,3.0,6.4,.468,1.5,3.6,.415,1.5,2.8,.535,.584,1.1,1.3,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.6
7,Jarrett Allen,C,21,BRK,69,63,26.3,4.3,6.6,.650,0.0,0.1,.000,4.3,6.5,.659,.650,2.4,3.8,.640,3.0,6.5,9.6,1.5,0.6,1.3,1.1,2.3,11.0
8,Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
9,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
10,Justin Anderson,SF,26,BRK,8,0,8.8,1.0,2.6,.381,0.6,1.9,.333,0.4,0.8,.500,.500,0.3,0.4,.667,0.1,1.8,1.9,0.8,0.0,0.6,0.1,1.0,2.9
11,Kyle Anderson,PF,26,MEM,65,26,19.7,2.3,4.9,.476,0.3,1.2,.256,2.0,3.7,.548,.508,0.8,1.1,.676,0.9,3.4,4.2,2.4,0.8,0.5,1.0,1.6,5.8
12,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
13,Giannis Antetokounmpo,PF,25,MIL,62,62,30.8,11.0,19.9,.554,1.4,4.7,.304,9.6,15.2,.632,.590,6.3,10.0,.629,2.2,11.4,13.7,5.7,1.0,1.1,3.7,3.1,29.8
14,Kostas Antetokounmpo,PF,22,LAL,4,0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
15,Thanasis Antetokounmpo,SF,27,MIL,18,2,5.2,1.1,2.0,.528,0.0,0.4,.000,1.1,1.6,.655,.528,0.4,0.8,.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
16,Carmelo Anthony,PF,35,POR,56,56,32.7,5.8,13.4,.428,1.5,3.9,.382,4.3,9.6,.446,.483,2.4,2.8,.847,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
17,OG Anunoby,SF,22,TOR,68,67,30.0,4.2,8.2,.507,1.3,3.3,.394,2.9,4.9,.584,.587,1.0,1.4,.704,1.1,4.1,5.3,1.5,1.4,0.7,1.1,2.4,10.7
18,Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
19,Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,1.2,2.2,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
20,Trevor Ariza,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
21,Trevor Ariza,SF,34,POR,21,21,33.4,3.7,7.6,.491,1.6,4.0,.400,2.1,3.5,.595,.597,2.0,2.2,.872,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0
22,D.J. Augustin,PG,32,ORL,55,12,25.0,3.2,8.1,.397,1.3,3.5,.354,1.9,4.5,.431,.475,2.7,3.1,.882,0.4,1.7,2.1,4.6,0.6,0.0,1.5,1.2,10.4
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Deandre Ayton,C,21,PHO,35,30,33.2,8.5,15.4,.550,0.1,0.3,.300,8.4,15.1,.555,.553,1.9,2.5,.759,3.9,7.7,11.7,1.9,0.7,1.6,2.3,3.2,18.9
25,Dwayne Bacon,SG,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
26,Marvin Bagley III,PF,20,SAC,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,5.7,11.2,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
27,Lonzo Ball,PG,22,NOP,62,53,32.2,4.4,10.9,.401,2.3,6.3,.370,2.1,4.7,.443,.507,0.7,1.2,.554,1.1,5.0,6.1,7.0,1.4,0.6,3.0,2.0,11.8
28,Mo Bamba,C,21,ORL,62,0,14.2,2.1,4.6,.462,0.6,1.7,.346,1.5,2.9,.531,.526,0.5,0.7,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
29,J.J. Barea,PG,35,DAL,27,5,15.0,2.7,6.7,.407,1.1,2.8,.382,1.7,3.9,.425,.486,0.7,0.7,.900,0.4,1.4,1.8,3.7,0.2,0.1,1.3,0.9,7.2
30,Harrison Barnes,PF,27,SAC,70,70,34.6,5.1,11.0,.462,1.4,3.7,.379,3.7,7.3,.504,.526,3.0,3.7,.801,1.0,3.9,4.9,2.2,0.6,0.1,1.2,1.3,14.5
31,RJ Barrett,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3
32,Will Barton,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1
33,Keita Bates-Diop,SF,24,TOT,41,0,16.9,2.2,5.1,.427,0.8,2.3,.337,1.4,2.8,.500,.502,1.2,1.7,.710,0.5,2.3,2.8,0.7,0.4,0.5,0.3,0.9,6.4
34,Keita Bates-Diop,SF,24,MIN,37,0,17.5,2.4,5.6,.422,0.8,2.5,.330,1.5,3.0,.500,.498,1.2,1.8,.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
35,Keita Bates-Diop,SF,24,DEN,4,0,11.3,0.8,1.3,.600,0.3,0.3,1.000,0.5,1.0,.500,.700,0.8,1.0,.750,0.3,1.0,1.3,0.0,0.3,0.3,0.0,0.5,2.5
36,Nicolas Batum,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
37,Aron Baynes,C,33,PHO,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5
38,Kent Bazemore,SF-SG,30,TOT,68,21,24.8,2.9,7.9,.375,1.2,3.6,.344,1.7,4.3,.400,.453,1.7,2.2,.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8
39,Kent Bazemore,SF,30,POR,43,21,25.8,2.6,7.6,.347,1.3,4.0,.327,1.3,3.6,.368,.433,1.3,1.7,.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
40,Kent Bazemore,SG,30,SAC,25,0,23.1,3.5,8.3,.418,1.1,2.9,.384,2.4,5.4,.437,.486,2.2,3.0,.733,0.6,4.3,4.9,1.3,1.2,0.4,1.2,3.0,10.3
41,Darius Bazley,PF,19,OKC,58,8,17.9,1.8,4.7,.385,0.7,2.1,.323,1.1,2.6,.437,.458,0.7,0.9,.717,0.4,3.4,3.8,0.6,0.4,0.6,0.7,0.9,5.0
42,Bradley Beal,SG,26,WAS,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
43,Malik Beasley,SG,23,TOT,55,14,22.0,4.1,9.7,.425,1.9,5.0,.388,2.2,4.7,.465,.525,1.0,1.2,.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2
44,Malik Beasley,SG,23,DEN,41,0,18.2,2.9,7.3,.389,1.4,3.9,.360,1.4,3.4,.421,.485,0.8,0.9,.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
45,Malik Beasley,SG,23,MIN,14,14,33.1,7.9,16.6,.472,3.5,8.2,.426,4.4,8.4,.517,.577,1.5,2.0,.750,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7
46,Marco Belinelli,SG,33,SAS,55,0,15.1,2.0,5.3,.384,1.1,3.0,.365,0.9,2.3,.408,.488,0.9,1.0,.839,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.0
47,Jordan Bell,C-PF,25,TOT,29,0,8.8,1.2,2.3,.522,0.1,0.4,.333,1.1,1.9,.564,.552,0.7,1.1,.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
48,Jordan Bell,C,25,MIN,27,0,8.7,1.2,2.2,.533,0.1,0.3,.222,1.1,1.9,.588,.550,0.6,1.1,.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1
49,Jordan Bell,PF,25,MEM,2,0,10.5,1.5,3.5,.429,1.0,1.5,.667,0.5,2.0,.250,.571,1.0,1.0,1.000,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0
50,DeAndre' Bembry,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
51,Dragan Bender,SF,22,TOT,16,3,17.9,2.6,5.8,.446,0.9,2.7,.349,1.6,3.1,.531,.527,0.6,0.9,.714,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7
52,Dragan Bender,SF,22,MIL,7,0,13.0,1.4,3.0,.476,0.6,1.3,.444,0.9,1.7,.500,.571,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
53,Dragan Bender,SF,22,GSW,9,3,21.7,3.4,7.9,.437,1.2,3.8,.324,2.2,4.1,.541,.514,0.9,1.2,.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Dāvis Bertāns,PF,27,WAS,54,4,29.3,4.9,11.3,.434,3.7,8.7,.424,1.2,2.6,.471,.598,1.9,2.3,.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
56,Patrick Beverley,PG,31,LAC,51,50,26.3,2.9,6.7,.431,1.6,4.0,.388,1.3,2.6,.496,.548,0.6,0.9,.660,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9
57,Khem Birch,C,27,ORL,46,24,19.0,1.4,2.8,.508,0.0,0.0,.000,1.4,2.8,.512,.508,1.3,2.0,.648,1.8,2.7,4.5,1.0,0.4,0.5,0.6,1.9,4.2
58,Goga Bitadze,C,20,IND,51,2,8.5,1.3,2.7,.474,0.2,0.8,.200,1.1,1.9,.588,.504,0.5,0.6,.727,0.5,1.5,1.9,0.4,0.1,0.7,0.5,1.2,3.2
59,Bismack Biyombo,C,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
60,Nemanja Bjelica,PF,31,SAC,70,65,27.8,4.4,9.1,.480,1.9,4.4,.421,2.5,4.6,.535,.583,0.9,1.1,.816,1.6,4.8,6.4,2.7,0.8,0.5,1.4,3.0,11.5
61,Eric Bledsoe,PG,30,MIL,59,59,27.1,5.6,11.6,.480,1.2,3.6,.348,4.3,8.1,.539,.534,2.8,3.5,.810,0.7,3.9,4.6,5.3,0.9,0.4,2.5,2.1,15.2
62,Bogdan Bogdanović,SG,27,SAC,59,26,28.8,5.4,12.4,.435,2.7,7.3,.369,2.7,5.2,.528,.543,1.4,1.9,.739,0.4,2.9,3.3,3.2,1.0,0.3,1.6,2.3,14.9
63,Bojan Bogdanović,SF,30,UTA,63,63,33.1,6.6,14.8,.447,3.0,7.3,.414,3.6,7.6,.479,.548,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
64,Bol Bol,C,20,DEN,4,0,10.0,1.8,3.3,.538,0.5,1.0,.500,1.3,2.3,.556,.615,0.3,0.3,1.000,0.8,1.5,2.3,0.5,0.3,0.3,1.3,1.3,4.3
65,Jonah Bolden,PF,24,TOT,7,0,6.7,0.6,1.6,.364,0.0,0.6,.000,0.6,1.0,.571,.364,0.3,0.6,.500,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4
66,Jonah Bolden,PF,24,PHI,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0
67,Jonah Bolden,PF,24,PHO,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.7,0.7,1.000,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0
68,Marques Bolden,C,21,CLE,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
69,Jordan Bone,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2
70,Isaac Bonga,SF,20,WAS,64,47,18.6,1.7,3.5,.502,0.4,1.1,.353,1.4,2.4,.569,.557,1.1,1.3,.819,1.1,2.3,3.4,1.1,0.7,0.3,0.8,2.4,4.9
71,Devin Booker,SG,23,PHO,67,67,36.0,8.9,18.2,.488,2.0,5.7,.356,6.9,12.5,.548,.543,6.5,7.1,.916,0.4,3.7,4.1,6.6,0.7,0.2,3.9,3.1,26.4
72,Chris Boucher,PF,27,TOR,59,0,12.6,2.1,4.5,.462,0.5,1.7,.294,1.6,2.7,.568,.519,1.4,1.8,.792,1.6,2.6,4.2,0.4,0.3,0.9,0.4,1.8,6.1
73,Brian Bowen,SG,21,IND,5,1,5.8,0.4,1.8,.222,0.0,0.4,.000,0.4,1.4,.286,.222,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.2,0.2,0.4,0.8
74,Ky Bowman,PG,22,GSW,45,12,22.6,3.0,7.1,.417,0.7,2.4,.308,2.2,4.8,.472,.469,0.8,0.9,.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4
75,Avery Bradley,SG,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
76,Tony Bradley,C,22,UTA,56,2,11.2,2.2,3.2,.672,0.0,0.0,1.000,2.1,3.2,.669,.678,0.5,0.8,.652,1.9,2.6,4.5,0.4,0.3,0.6,0.5,2.0,4.9
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jarrell Brantley,PF,23,UTA,7,0,6.3,0.4,1.1,.375,0.3,0.6,.500,0.1,0.6,.250,.500,0.0,0.0,,0.1,1.7,1.9,0.6,0.3,0.4,0.6,0.6,1.1
79,Ignas Brazdeikis,SF,21,NYK,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
80,Corey Brewer,SG,33,SAC,4,0,7.8,0.5,1.0,.500,0.0,0.3,.000,0.5,0.8,.667,.500,0.3,0.8,.333,0.5,1.5,2.0,0.3,1.0,0.0,0.5,1.8,1.3
81,Mikal Bridges,SF,23,PHO,70,29,27.9,3.2,6.4,.504,0.9,2.5,.339,2.4,3.9,.612,.571,1.4,1.6,.843,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.7
82,Miles Bridges,SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0
83,Oshae Brissett,SF,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
84,Ryan Broekhoff,SG,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
85,Malcolm Brogdon,PG,27,IND,52,52,31.0,6.1,13.8,.440,1.4,4.2,.323,4.7,9.6,.492,.490,3.1,3.5,.895,0.8,4.0,4.8,7.1,0.7,0.2,2.4,1.8,16.6
